customer_id,car_model,contract_type,tenure_months,service_calls_last_3m,satisfaction_score,monthly_payment,complaint_level,text,churn
18,Sedan Basic,subscription,45,0,3,461.73,3,Customer drives a Sedan Basic. Customer is neutral about the car. No recent service issues or complaints. Customer is on a flexible subscription contract. Customer mentions switching to another brand soon.,1
19,EV Compact,lease,8,1,1,368.21,1,Customer drives a EV Compact. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle.,1
20,SUV Family,lease,19,3,2,453.35,3,Customer drives a SUV Family. Customer is very unhappy with the car. Frequent service complaints about reliability and repairs. Customer is currently leasing the vehicle. Customer mentions switching to another brand soon.,1
21,SUV Sport,lease,45,0,5,304.47,0,Customer drives a SUV Sport. Customer is satisfied and generally likes the car. No recent service issues or complaints. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
22,SUV Family,finance,35,0,4,411.7,0,Customer drives a SUV Family. Customer is satisfied and generally likes the car. No recent service issues or complaints. Customer is financing the car. Customer expresses loyalty to the brand.,0
23,Sedan Premium,subscription,46,0,1,537.1,2,Customer drives a Sedan Premium. Customer is very unhappy with the car. No recent service issues or complaints. Customer is on a flexible subscription contract. Customer is considering alternatives due to recurring issues.,1
24,EV Compact,finance,31,4,2,547.84,2,Customer drives a EV Compact. Customer is very unhappy with the car. Frequent service complaints about reliability and repairs. Customer is financing the car. Customer is considering alternatives due to recurring issues.,1
25,Truck Utility,finance,51,1,5,559.31,3,Customer drives a Truck Utility. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is financing the car. Customer mentions switching to another brand soon.,0
26,SUV Sport,lease,52,3,1,434.27,2,Customer drives a SUV Sport. Customer is very unhappy with the car. Frequent service complaints about reliability and repairs. Customer is currently leasing the vehicle. Customer is considering alternatives due to recurring issues.,1
27,SUV Family,lease,58,1,4,403.79,0,Customer drives a SUV Family. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
28,Truck Utility,finance,8,1,2,346.15,2,Customer drives a Truck Utility. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is financing the car. Customer is considering alternatives due to recurring issues.,1
29,SUV Sport,lease,35,0,3,183.1,1,Customer drives a SUV Sport. Customer is neutral about the car. No recent service issues or complaints. Customer considers the monthly payment affordable. Customer is currently leasing the vehicle.,1
30,SUV Family,lease,7,2,5,238.61,1,Customer drives a SUV Family. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is currently leasing the vehicle.,1
31,SUV Family,lease,14,2,4,379.83,1,Customer drives a SUV Family. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle.,1
32,Sedan Premium,lease,18,2,2,387.01,3,Customer drives a Sedan Premium. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer mentions switching to another brand soon.,1
33,Sedan Basic,finance,39,1,1,569.47,0,Customer drives a Sedan Basic. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is financing the car. Customer expresses loyalty to the brand.,1
34,SUV Sport,finance,26,0,2,557.78,2,Customer drives a SUV Sport. Customer is very unhappy with the car. No recent service issues or complaints. Customer is financing the car. Customer is considering alternatives due to recurring issues.,1
35,EV Compact,lease,52,2,3,317.62,0,Customer drives a EV Compact. Customer is neutral about the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
36,Sedan Basic,finance,18,2,1,498.2,2,Customer drives a Sedan Basic. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is financing the car. Customer is considering alternatives due to recurring issues.,1
37,EV Compact,finance,37,0,5,342.75,0,Customer drives a EV Compact. Customer is satisfied and generally likes the car. No recent service issues or complaints. Customer is financing the car. Customer expresses loyalty to the brand.,0
38,Truck Utility,finance,46,4,1,481.91,3,Customer drives a Truck Utility. Customer is very unhappy with the car. Frequent service complaints about reliability and repairs. Customer is financing the car. Customer mentions switching to another brand soon.,1
39,Sedan Premium,subscription,58,2,3,496.72,3,Customer drives a Sedan Premium. Customer is neutral about the car. Some minor service issues were reported recently. Customer is on a flexible subscription contract. Customer mentions switching to another brand soon.,1
40,SUV Sport,finance,15,1,5,549.05,3,Customer drives a SUV Sport. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is financing the car. Customer mentions switching to another brand soon.,1
41,Sedan Basic,subscription,44,5,2,340.88,1,Customer drives a Sedan Basic. Customer is very unhappy with the car. Frequent service complaints about reliability and repairs. Customer is on a flexible subscription contract.,1
42,Truck Utility,lease,6,2,3,521.72,3,Customer drives a Truck Utility. Customer is neutral about the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer mentions switching to another brand soon.,1
43,Truck Utility,lease,33,1,1,175.26,0,Customer drives a Truck Utility. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
44,SUV Family,lease,25,3,4,555.55,1,Customer drives a SUV Family. Customer is satisfied and generally likes the car. Frequent service complaints about reliability and repairs. Customer is currently leasing the vehicle.,1
45,Sedan Basic,finance,57,0,5,397.0,0,Customer did not provide any comments.,0
46,EV Compact,lease,46,1,4,399.55,0,Customer drives a EV Compact. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
47,SUV Family,lease,55,0,1,155.51,1,Customer drives a SUV Family. Customer is very unhappy with the car. No recent service issues or complaints. Customer considers the monthly payment affordable. Customer is currently leasing the vehicle.,0
48,EV Compact,finance,51,2,2,353.36,2,Customer drives a EV Compact. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is financing the car. Customer is considering alternatives due to recurring issues.,1
49,Truck Utility,lease,25,0,4,562.66,3,Customer drives a Truck Utility. Customer is satisfied and generally likes the car. No recent service issues or complaints. Customer is currently leasing the vehicle. Customer mentions switching to another brand soon.,1
50,Truck Utility,lease,44,1,4,348.8,0,Customer drives a Truck Utility. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
51,Truck Utility,lease,2,0,3,485.62,1,Customer drives a Truck Utility. Customer is neutral about the car. No recent service issues or complaints. Customer is currently leasing the vehicle.,1
52,Sedan Premium,finance,33,1,5,404.15,2,Customer drives a Sedan Premium. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is financing the car. Customer is considering alternatives due to recurring issues.,0
53,SUV Family,lease,3,2,2,527.52,0,Customer did not provide any comments.,1
54,SUV Family,lease,43,1,4,422.98,2,Customer drives a SUV Family. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer is considering alternatives due to recurring issues.,1
55,SUV Family,lease,58,2,3,288.18,2,Customer drives a SUV Family. Customer is neutral about the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is currently leasing the vehicle. Customer is considering alternatives due to recurring issues.,0
56,Sedan Basic,finance,41,1,4,406.77,2,Customer drives a Sedan Basic. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is financing the car. Customer is considering alternatives due to recurring issues.,0
57,SUV Sport,subscription,50,1,3,592.15,0,Customer drives a SUV Sport. Customer is neutral about the car. Some minor service issues were reported recently. Customer is on a flexible subscription contract. Customer expresses loyalty to the brand.,1
58,Sedan Basic,finance,14,0,3,459.72,0,Customer drives a Sedan Basic. Customer is neutral about the car. No recent service issues or complaints. Customer is financing the car. Customer expresses loyalty to the brand.,1
59,Truck Utility,finance,59,4,5,386.03,3,Customer drives a Truck Utility. Customer is satisfied and generally likes the car. Frequent service complaints about reliability and repairs. Customer is financing the car. Customer mentions switching to another brand soon.,1
60,Truck Utility,subscription,33,5,5,670.69,3,Customer drives a Truck Utility. Customer is satisfied and generally likes the car. Frequent service complaints about reliability and repairs. Customer says the monthly payment feels too expensive. Customer is on a flexible subscription contract. Customer mentions switching to another brand soon.,1
61,EV Compact,subscription,40,1,5,539.11,1,Customer drives a EV Compact. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is on a flexible subscription contract.,0
62,Truck Utility,finance,46,1,1,498.01,2,Customer drives a Truck Utility. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is financing the car. Customer is considering alternatives due to recurring issues.,1
63,SUV Family,subscription,38,0,3,438.08,2,Customer drives a SUV Family. Customer is neutral about the car. No recent service issues or complaints. Customer is on a flexible subscription contract. Customer is considering alternatives due to recurring issues.,0
64,EV Compact,subscription,19,3,4,487.63,2,Customer drives a EV Compact. Customer is satisfied and generally likes the car. Frequent service complaints about reliability and repairs. Customer is on a flexible subscription contract. Customer is considering alternatives due to recurring issues.,1
65,SUV Family,finance,37,4,5,491.53,2,Customer drives a SUV Family. Customer is satisfied and generally likes the car. Frequent service complaints about reliability and repairs. Customer is financing the car. Customer is considering alternatives due to recurring issues.,1
66,Sedan Premium,finance,39,3,2,150.0,2,Customer drives a Sedan Premium. Customer is very unhappy with the car. Frequent service complaints about reliability and repairs. Customer considers the monthly payment affordable. Customer is financing the car. Customer is considering alternatives due to recurring issues.,1
67,EV Compact,lease,51,2,4,447.39,0,Customer drives a EV Compact. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
68,SUV Family,lease,29,3,3,380.7,0,Customer drives a SUV Family. Customer is neutral about the car. Frequent service complaints about reliability and repairs. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
69,Sedan Basic,finance,30,1,2,340.03,3,Customer drives a Sedan Basic. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is financing the car. Customer mentions switching to another brand soon.,1
70,SUV Family,finance,30,3,5,376.55,2,Customer drives a SUV Family. Customer is satisfied and generally likes the car. Frequent service complaints about reliability and repairs. Customer is financing the car. Customer is considering alternatives due to recurring issues.,1
71,Truck Utility,finance,7,3,3,213.3,0,Customer drives a Truck Utility. Customer is neutral about the car. Frequent service complaints about reliability and repairs. Customer considers the monthly payment affordable. Customer is financing the car. Customer expresses loyalty to the brand.,0
72,Sedan Premium,finance,6,2,4,183.45,0,Customer drives a Sedan Premium. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is financing the car. Customer expresses loyalty to the brand.,0
73,SUV Family,finance,2,1,2,549.58,0,Customer drives a SUV Family. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is financing the car. Customer expresses loyalty to the brand.,0
74,Sedan Basic,subscription,40,0,1,455.46,2,Customer drives a Sedan Basic. Customer is very unhappy with the car. No recent service issues or complaints. Customer is on a flexible subscription contract. Customer is considering alternatives due to recurring issues.,1
75,Truck Utility,lease,25,2,3,150.0,2,Customer drives a Truck Utility. Customer is neutral about the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is currently leasing the vehicle. Customer is considering alternatives due to recurring issues.,0
76,SUV Family,lease,52,3,4,330.83,0,Customer drives a SUV Family. Customer is satisfied and generally likes the car. Frequent service complaints about reliability and repairs. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,1
77,Sedan Premium,finance,42,1,2,505.67,0,Customer drives a Sedan Premium. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is financing the car. Customer expresses loyalty to the brand.,1
78,Sedan Premium,subscription,9,1,5,366.4,0,Customer drives a Sedan Premium. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is on a flexible subscription contract. Customer expresses loyalty to the brand.,0
79,SUV Sport,subscription,6,1,4,549.4,1,Customer drives a SUV Sport. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is on a flexible subscription contract.,1
80,Truck Utility,subscription,22,0,4,525.97,0,Customer drives a Truck Utility. Customer is satisfied and generally likes the car. No recent service issues or complaints. Customer is on a flexible subscription contract. Customer expresses loyalty to the brand.,0
81,EV Compact,subscription,55,1,5,237.19,1,Customer drives a EV Compact. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is on a flexible subscription contract.,1
82,SUV Family,lease,3,3,5,382.8,0,Customer drives a SUV Family. Customer is satisfied and generally likes the car. Frequent service complaints about reliability and repairs. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
83,Sedan Basic,finance,12,1,4,346.23,3,Customer drives a Sedan Basic. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is financing the car. Customer mentions switching to another brand soon.,0
84,Truck Utility,lease,2,2,5,233.29,3,Customer drives a Truck Utility. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is currently leasing the vehicle. Customer mentions switching to another brand soon.,1
85,SUV Sport,finance,25,1,4,225.49,1,Customer drives a SUV Sport. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is financing the car.,0
86,Truck Utility,subscription,59,1,5,303.28,3,Customer drives a Truck Utility. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is on a flexible subscription contract. Customer mentions switching to another brand soon.,0
87,Sedan Basic,lease,41,1,1,323.09,2,Customer drives a Sedan Basic. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer is considering alternatives due to recurring issues.,1
88,Sedan Premium,finance,30,2,2,433.99,0,Customer drives a Sedan Premium. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is financing the car. Customer expresses loyalty to the brand.,1
89,Truck Utility,lease,9,4,5,525.31,1,Customer drives a Truck Utility. Customer is satisfied and generally likes the car. Frequent service complaints about reliability and repairs. Customer is currently leasing the vehicle.,0
90,Truck Utility,lease,21,1,3,461.64,0,Customer drives a Truck Utility. Customer is neutral about the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
91,SUV Family,lease,31,3,1,490.04,2,Customer drives a SUV Family. Customer is very unhappy with the car. Frequent service complaints about reliability and repairs. Customer is currently leasing the vehicle. Customer is considering alternatives due to recurring issues.,0
92,Truck Utility,lease,17,1,5,368.01,3,Customer drives a Truck Utility. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer mentions switching to another brand soon.,1
93,EV Compact,subscription,42,0,4,472.36,2,Customer drives a EV Compact. Customer is satisfied and generally likes the car. No recent service issues or complaints. Customer is on a flexible subscription contract. Customer is considering alternatives due to recurring issues.,1
94,SUV Family,finance,58,1,5,382.2,0,Customer drives a SUV Family. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is financing the car. Customer expresses loyalty to the brand.,0
95,EV Compact,subscription,13,0,1,347.02,0,Customer drives a EV Compact. Customer is very unhappy with the car. No recent service issues or complaints. Customer is on a flexible subscription contract. Customer expresses loyalty to the brand.,1
96,Sedan Premium,finance,15,5,1,627.65,1,Customer did not provide any comments.,1
97,Sedan Premium,lease,8,3,3,150.0,0,Customer drives a Sedan Premium. Customer is neutral about the car. Frequent service complaints about reliability and repairs. Customer considers the monthly payment affordable. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
98,Truck Utility,lease,43,1,1,175.2,0,Customer drives a Truck Utility. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,1
99,SUV Sport,subscription,28,1,3,445.92,1,Customer drives a SUV Sport. Customer is neutral about the car. Some minor service issues were reported recently. Customer is on a flexible subscription contract.,1
100,Sedan Basic,lease,17,1,2,368.2,2,Customer drives a Sedan Basic. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer is considering alternatives due to recurring issues.,1
101,Truck Utility,subscription,13,0,2,227.56,0,Customer drives a Truck Utility. Customer is very unhappy with the car. No recent service issues or complaints. Customer considers the monthly payment affordable. Customer is on a flexible subscription contract. Customer expresses loyalty to the brand.,1
102,Sedan Premium,lease,5,3,4,273.45,3,Customer drives a Sedan Premium. Customer is satisfied and generally likes the car. Frequent service complaints about reliability and repairs. Customer considers the monthly payment affordable. Customer is currently leasing the vehicle. Customer mentions switching to another brand soon.,1
103,Truck Utility,finance,29,1,1,289.07,1,Customer drives a Truck Utility. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is financing the car.,1
104,Sedan Basic,subscription,41,0,5,507.08,0,Customer drives a Sedan Basic. Customer is satisfied and generally likes the car. No recent service issues or complaints. Customer is on a flexible subscription contract. Customer expresses loyalty to the brand.,0
105,Truck Utility,lease,14,1,1,545.49,0,Customer drives a Truck Utility. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,1
106,Truck Utility,lease,1,1,3,596.75,3,Customer drives a Truck Utility. Customer is neutral about the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer mentions switching to another brand soon.,1
107,Truck Utility,subscription,28,0,5,209.32,2,Customer drives a Truck Utility. Customer is satisfied and generally likes the car. No recent service issues or complaints. Customer considers the monthly payment affordable. Customer is on a flexible subscription contract. Customer is considering alternatives due to recurring issues.,0
108,SUV Sport,lease,40,2,1,235.95,3,Customer drives a SUV Sport. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is currently leasing the vehicle. Customer mentions switching to another brand soon.,1
109,SUV Family,finance,21,1,5,227.72,3,Customer drives a SUV Family. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is financing the car. Customer mentions switching to another brand soon.,0
110,Truck Utility,finance,15,2,2,554.66,3,Customer drives a Truck Utility. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is financing the car. Customer mentions switching to another brand soon.,1
111,Sedan Premium,lease,10,0,4,450.07,3,Customer drives a Sedan Premium. Customer is satisfied and generally likes the car. No recent service issues or complaints. Customer is currently leasing the vehicle. Customer mentions switching to another brand soon.,1
112,Truck Utility,finance,45,4,5,409.62,3,Customer drives a Truck Utility. Customer is satisfied and generally likes the car. Frequent service complaints about reliability and repairs. Customer is financing the car. Customer mentions switching to another brand soon.,1
113,SUV Sport,finance,51,5,2,427.56,3,Customer drives a SUV Sport. Customer is very unhappy with the car. Frequent service complaints about reliability and repairs. Customer is financing the car. Customer mentions switching to another brand soon.,1
114,SUV Family,lease,46,3,2,393.19,3,Customer drives a SUV Family. Customer is very unhappy with the car. Frequent service complaints about reliability and repairs. Customer is currently leasing the vehicle. Customer mentions switching to another brand soon.,1
115,SUV Sport,subscription,31,2,5,265.46,1,Customer drives a SUV Sport. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is on a flexible subscription contract.,1
116,SUV Sport,lease,43,1,1,461.58,2,Customer did not provide any comments.,1
117,Sedan Basic,lease,24,1,1,377.66,3,Customer drives a Sedan Basic. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer mentions switching to another brand soon.,1
118,Sedan Basic,finance,2,4,2,255.96,3,Customer drives a Sedan Basic. Customer is very unhappy with the car. Frequent service complaints about reliability and repairs. Customer considers the monthly payment affordable. Customer is financing the car. Customer mentions switching to another brand soon.,1
119,Sedan Premium,subscription,22,2,4,468.91,0,Customer drives a Sedan Premium. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is on a flexible subscription contract. Customer expresses loyalty to the brand.,1
120,Sedan Basic,lease,42,3,5,348.91,0,Customer drives a Sedan Basic. Customer is satisfied and generally likes the car. Frequent service complaints about reliability and repairs. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
121,SUV Family,lease,39,2,3,427.3,0,Customer drives a SUV Family. Customer is neutral about the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
122,Truck Utility,finance,59,2,3,385.0,2,Customer drives a Truck Utility. Customer is neutral about the car. Some minor service issues were reported recently. Customer is financing the car. Customer is considering alternatives due to recurring issues.,0
123,SUV Sport,subscription,59,1,5,506.97,1,Customer drives a SUV Sport. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is on a flexible subscription contract.,0
124,SUV Family,lease,15,3,1,426.42,2,Customer drives a SUV Family. Customer is very unhappy with the car. Frequent service complaints about reliability and repairs. Customer is currently leasing the vehicle. Customer is considering alternatives due to recurring issues.,1
125,EV Compact,lease,1,3,5,293.96,0,Customer drives a EV Compact. Customer is satisfied and generally likes the car. Frequent service complaints about reliability and repairs. Customer considers the monthly payment affordable. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
126,SUV Sport,finance,17,2,2,438.64,0,Customer drives a SUV Sport. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is financing the car. Customer expresses loyalty to the brand.,0
127,Sedan Basic,lease,52,1,2,442.56,3,Customer drives a Sedan Basic. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer mentions switching to another brand soon.,0
128,Truck Utility,lease,48,5,5,461.36,1,Customer drives a Truck Utility. Customer is satisfied and generally likes the car. Frequent service complaints about reliability and repairs. Customer is currently leasing the vehicle.,0
129,SUV Sport,lease,6,5,4,524.3,0,Customer drives a SUV Sport. Customer is satisfied and generally likes the car. Frequent service complaints about reliability and repairs. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
130,SUV Sport,finance,10,3,3,326.08,0,Customer drives a SUV Sport. Customer is neutral about the car. Frequent service complaints about reliability and repairs. Customer is financing the car. Customer expresses loyalty to the brand.,1
131,SUV Sport,finance,34,3,2,480.15,1,Customer drives a SUV Sport. Customer is very unhappy with the car. Frequent service complaints about reliability and repairs. Customer is financing the car.,1
132,SUV Sport,subscription,39,2,3,193.02,1,Customer drives a SUV Sport. Customer is neutral about the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is on a flexible subscription contract.,1
133,Sedan Basic,finance,58,1,4,385.6,3,Customer drives a Sedan Basic. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is financing the car. Customer mentions switching to another brand soon.,0
134,SUV Sport,finance,45,2,1,367.04,0,Customer drives a SUV Sport. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is financing the car. Customer expresses loyalty to the brand.,1
135,Truck Utility,subscription,13,1,1,573.74,2,Customer drives a Truck Utility. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is on a flexible subscription contract. Customer is considering alternatives due to recurring issues.,1
136,Sedan Premium,finance,3,2,2,381.24,1,Customer drives a Sedan Premium. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is financing the car.,0
137,SUV Sport,finance,38,3,3,472.96,1,Customer drives a SUV Sport. Customer is neutral about the car. Frequent service complaints about reliability and repairs. Customer is financing the car.,0
138,Sedan Basic,subscription,33,2,5,188.59,1,Customer drives a Sedan Basic. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is on a flexible subscription contract.,0
139,SUV Family,lease,55,5,2,357.79,1,Customer drives a SUV Family. Customer is very unhappy with the car. Frequent service complaints about reliability and repairs. Customer is currently leasing the vehicle.,1
140,SUV Family,finance,34,2,4,298.44,2,Customer drives a SUV Family. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is financing the car. Customer is considering alternatives due to recurring issues.,1
141,EV Compact,finance,30,2,5,697.06,2,Customer drives a EV Compact. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer says the monthly payment feels too expensive. Customer is financing the car. Customer is considering alternatives due to recurring issues.,1
142,Sedan Premium,lease,18,2,3,319.98,0,Customer drives a Sedan Premium. Customer is neutral about the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,1
143,Sedan Premium,finance,6,3,5,408.79,0,Customer drives a Sedan Premium. Customer is satisfied and generally likes the car. Frequent service complaints about reliability and repairs. Customer is financing the car. Customer expresses loyalty to the brand.,1
144,SUV Family,lease,52,2,5,415.19,0,Customer drives a SUV Family. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
145,EV Compact,lease,49,1,4,209.26,3,Customer drives a EV Compact. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is currently leasing the vehicle. Customer mentions switching to another brand soon.,0
146,EV Compact,finance,10,1,2,336.88,1,Customer drives a EV Compact. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is financing the car.,1
