customer_id,car_model,contract_type,tenure_months,service_calls_last_3m,satisfaction_score,monthly_payment,complaint_level,text,churn
18,Sedan Basic,subscription,45,0,3,461.73,3,Customer drives a Sedan Basic. Customer is neutral about the car. No recent service issues or complaints. Customer is on a flexible subscription contract. Customer mentions switching to another brand soon.,1
19,EV Compact,lease,8,1,1,368.21,1,Customer drives a EV Compact. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle.,1
20,SUV Family,lease,19,3,2,453.35,3,Customer drives a SUV Family. Customer is very unhappy with the car. Frequent service complaints about reliability and repairs. Customer is currently leasing the vehicle. Customer mentions switching to another brand soon.,1
21,SUV Sport,lease,45,0,5,304.47,0,Customer drives a SUV Sport. Customer is satisfied and generally likes the car. No recent service issues or complaints. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
22,SUV Family,finance,35,0,4,411.7,0,Customer drives a SUV Family. Customer is satisfied and generally likes the car. No recent service issues or complaints. Customer is financing the car. Customer expresses loyalty to the brand.,0
23,Sedan Premium,subscription,46,0,1,537.1,2,Customer drives a Sedan Premium. Customer is very unhappy with the car. No recent service issues or complaints. Customer is on a flexible subscription contract. Customer is considering alternatives due to recurring issues.,1
24,EV Compact,finance,31,4,2,547.84,2,Customer drives a EV Compact. Customer is very unhappy with the car. Frequent service complaints about reliability and repairs. Customer is financing the car. Customer is considering alternatives due to recurring issues.,1
25,Truck Utility,finance,51,1,5,559.31,3,Customer drives a Truck Utility. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is financing the car. Customer mentions switching to another brand soon.,0
26,SUV Sport,lease,52,3,1,434.27,2,Customer drives a SUV Sport. Customer is very unhappy with the car. Frequent service complaints about reliability and repairs. Customer is currently leasing the vehicle. Customer is considering alternatives due to recurring issues.,1
27,SUV Family,lease,58,1,4,403.79,0,Customer drives a SUV Family. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
28,Truck Utility,finance,8,1,2,346.15,2,Customer drives a Truck Utility. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is financing the car. Customer is considering alternatives due to recurring issues.,1
29,SUV Sport,lease,35,0,3,183.1,1,Customer drives a SUV Sport. Customer is neutral about the car. No recent service issues or complaints. Customer considers the monthly payment affordable. Customer is currently leasing the vehicle.,1
30,SUV Family,lease,7,2,5,238.61,1,Customer drives a SUV Family. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is currently leasing the vehicle.,1
31,SUV Family,lease,14,2,4,379.83,1,Customer drives a SUV Family. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle.,1
32,Sedan Premium,lease,18,2,2,387.01,3,Customer drives a Sedan Premium. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer mentions switching to another brand soon.,1
33,Sedan Basic,finance,39,1,1,569.47,0,Customer drives a Sedan Basic. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is financing the car. Customer expresses loyalty to the brand.,1
34,SUV Sport,finance,26,0,2,557.78,2,Customer drives a SUV Sport. Customer is very unhappy with the car. No recent service issues or complaints. Customer is financing the car. Customer is considering alternatives due to recurring issues.,1
35,EV Compact,lease,52,2,3,317.62,0,Customer drives a EV Compact. Customer is neutral about the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
36,Sedan Basic,finance,18,2,1,498.2,2,Customer drives a Sedan Basic. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is financing the car. Customer is considering alternatives due to recurring issues.,1
37,EV Compact,finance,37,0,5,342.75,0,Customer drives a EV Compact. Customer is satisfied and generally likes the car. No recent service issues or complaints. Customer is financing the car. Customer expresses loyalty to the brand.,0
38,Truck Utility,finance,46,4,1,481.91,3,Customer drives a Truck Utility. Customer is very unhappy with the car. Frequent service complaints about reliability and repairs. Customer is financing the car. Customer mentions switching to another brand soon.,1
39,Sedan Premium,subscription,58,2,3,496.72,3,Customer drives a Sedan Premium. Customer is neutral about the car. Some minor service issues were reported recently. Customer is on a flexible subscription contract. Customer mentions switching to another brand soon.,1
40,SUV Sport,finance,15,1,5,549.05,3,Customer drives a SUV Sport. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is financing the car. Customer mentions switching to another brand soon.,1
41,Sedan Basic,subscription,44,5,2,340.88,1,Customer drives a Sedan Basic. Customer is very unhappy with the car. Frequent service complaints about reliability and repairs. Customer is on a flexible subscription contract.,1
42,Truck Utility,lease,6,2,3,521.72,3,Customer drives a Truck Utility. Customer is neutral about the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer mentions switching to another brand soon.,1
43,Truck Utility,lease,33,1,1,175.26,0,Customer drives a Truck Utility. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
44,SUV Family,lease,25,3,4,555.55,1,Customer drives a SUV Family. Customer is satisfied and generally likes the car. Frequent service complaints about reliability and repairs. Customer is currently leasing the vehicle.,1
45,Sedan Basic,finance,57,0,5,397.0,0,Customer did not provide any comments.,0
46,EV Compact,lease,46,1,4,399.55,0,Customer drives a EV Compact. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
47,SUV Family,lease,55,0,1,155.51,1,Customer drives a SUV Family. Customer is very unhappy with the car. No recent service issues or complaints. Customer considers the monthly payment affordable. Customer is currently leasing the vehicle.,0
48,EV Compact,finance,51,2,2,353.36,2,Customer drives a EV Compact. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is financing the car. Customer is considering alternatives due to recurring issues.,1
49,Truck Utility,lease,25,0,4,562.66,3,Customer drives a Truck Utility. Customer is satisfied and generally likes the car. No recent service issues or complaints. Customer is currently leasing the vehicle. Customer mentions switching to another brand soon.,1
50,Truck Utility,lease,44,1,4,348.8,0,Customer drives a Truck Utility. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is currently leasing the vehicle. Customer expresses loyalty to the brand.,0
